@relation C__Users_Matilde_Desktop_GitHub_datamin_GenrePrediction_dataset

@attribute text string
@attribute @@class@@ {Action,Adventure,BoardGames,Educational,Fighting,Puzzle,Racing,RPG,Shooter,Simulation,Sport,Strategy}

@data

'mous game chees top adventur hack slash game make way castl slay skeleton defend castl player must collect key open gate way find boss defeat good',Action
'play ghost doesnt know one solv puzzl help rememb happen hope meet cute friend along way control arrow wdown arrow sleft left arrow aright right arrow dinteract alt jshow hide dialogspush rocksdestroy bushesmut unmut sound mshow hide debug consol spoiler game made gbjam tri tell stori may end sudden sinc ran time also mean might find unwant glitch bug somewher even tri solv much possibl let know feedback thought peopl like may consid make prototyp real game rom version could play fav emul gameboy consol big thank lotusotho alejandro ramo theme song despit last minut rush exhaust late happi new life achiev time hit submit button fun folk antoin aka sleepingpanda',Adventure
'start small burger shop improv busi time open new food store king food industri start small big eat drive',BoardGames
'player say almost dont realiz your learn recommend game busi savvi biz curious certain challeng depend level game play select entertain inform fave realist rate star develop take easi slacker great sim love way game play keep element challeng keep eas use busi inc realli well thought challeng game definit challeng think good guag happen one tri start busi fire one job think fun fair realist awesom great experi fun play good pretti fun stress like fun wast time play cant get realli fun fantast game intellig mind earn money game love game offici addict good strategi game train strateg busi mindset depth game ton littl intricaci make satisfi fulfil busi inc winner pmi continu profession educ product year award busi inc busi strategi game run compani develop mobil game goal expand busi becom leader market mobil entertain difficulti level game play employe endless number project run game simul small project organ make profit project addit game offer predefin startup scenario project dozen peopl difficulti level hundr event news world project manag provid entertain well day game learn game introduc basic term project manag pmi pmp princ pmbok guid scrum test project manag use resourc best earn fortun train peopl influenc motiv increas effici reduc risk project plan budget revenu risk deadlin select profit project optim alloc peopl earn much possibl busi inc provid busi educ fun way howev game difficult problem finish check websit tip news',Educational
'cuphead fan game base brother arm compos game anim oblivionfal cuphead own studio mdhr control arrow key move move lock shoot jump parri air shift dash esc paus',Fighting
'onlin interact rate esrb readi beat drop fusion rhythm puzzl creat complet new kind battl drop piec along beat win explos chain purchas full version play mode stage also uniqu beat matic function analyz song use game way fun beat drop endless feel rhythm battl refund item inform see www xbox com live account',Puzzle
'break art cyber battl race action race arcad game develop playism came publish activ game media play break art cyber battl race android',Racing
'new steam versiondlc first touch summer includ previous dlcs major overhaul better readabl scalabl layout custom accord user prefer mani compon reposit resiz etc text font size key area decreas increas scroll bar mani compon quicker brows scroll key area done use arrow content issu resolv achiev trade card gameacademagia make mage whimsic fantasi life simul role play game set renown academi magic rich danger citi mineta newli arriv teenag strang vast school youll embark adventur great small train familiar make friend enemi master shine art subtl law spell cast first year youll attend class build skill compet glori colleg explor histori power ancient world fli island fallen empir choos whether creat new magic item butter instructor duel bitterest rival ultim determin charact evolv throughout school year mani secret skill uncov hundr uniqu action learn bonus collect charact special unpreced breadth explor campus research mani librari help friend visit exot merchant cast power spell choic interact student maneuv possibl random event set upon adventur explor hundr skill cast spell five pillar magic learn forbidden art add new effect exist spell master vocabulari magic discov visit mysteri castl ruin shop secret hide out teach train adventur familiar one dozen speci enjoy near endless replay scope marvel improv sinc game build video academagia world first school wizard ancient rich loom world magic like institut human ever made need know make freshman year watch mineta oldest greatest meanest citi world gang thiev guild mayb sever depend look conspir tri drive good captain high offic captain tri drive conspiraci nut crazi wizard bicker vampir haunt restaur god know els citi mess also watch imperi reserv whole place left brew shadow sinc empir man shook apart honest exact safe even empir peak old forest full monster trap tomb fey polit crazi wizard old imperi palac well size citi still strain contain ghost twitchi soldier skulk bandit sphinx best even think sphinx sky most domin air pirat enchant ship war fli island make civil know bad wors food cours fring dragon scali old creatur enslav human shatter first generat god wait chanc pick left say safer explor academi mineta let real school seventeen hundr year old center wizard upris undead invas god know els tower frozen time moment collaps professor plot one anoth dynam incred complic relationship eighti student year everi enemi make know make firebal stick bad attitud good luck least youll magic incant stuff magic creation tri entomb citi horrif magic winter otherwis fun negat magic deflect evalu still love glamour work illusionist con artist ambiti lover everi stripe caus problem legal enough revis turn thing thing nobodi complain fix tear shirt make shoe size hous artific art enchant well make citi work astrolog magic turn rule star around benefit gate masteri though want invad armi plane exist want derang wizard make innoc peopl puppet bewar anyon great big world fill incred vast number thing place peopl impress hundr adventur liter thousand abil action item pick improv odd academagia life simul role play game intend audienc age game reward relationship build research knowledg violenc encourag gamer creat uniqu stori',RPG
'jax shoot game releas player play special combat troop codenam jax goal destroy armi alien invad work ahead time use flashi sound effect music score one first game port consum game consol arcad archiv seri faith reproduc masterpiec classic arcad game system take advantag addit featur system offer player share play screen video share featur also compet player onlin improv stand onlin score rank leaderboard pleas enjoy masterpiec built generat video game addit hardwar requir remot play player dualshock remot play video output softwar subject licens playstat com softwarelicens onlin activ subject term servic user agreement www playstationnetwork com term servic one time licens fee play account design primari system system sign account konami digit entertain product deliv hamster corpor right grant konami digit entertain ltd',Shooter
'custom perfect day beach start new beach load old one play paramet chang weather crowd even time day decid drink chill happi beach tune get tire press red button mark reset end paradis made perebit music christian bernard idea fake game cover john charl holm game cover jam special thank patron tatyana mustako suzetti spaghetti',Simulation
'automobilista put drive seat one advanc race simul deliv uniqu divers motorsport experi natur successor reiza studio previous titl high regard stock car extrem origin releas automobilista continu simul premium brazilian race seri stock car copa petrobra marca formula brasil mitsubishi lancer cup pack everi car everi track respect championship beyond brazilian core automobilista extens complement one divers select race vehicl find race game automobilista abl jump rental kart singl seater drift rallycross evox jump ramp supertruck master drive basic formula vee manag full race endur prototyp back forth histor modern content featur sampl sever decad race histori much within mous click thorough research cohes develop maximum simul accuraci automobilista captur fun motorsport various form provid addit content alreadi present stock car extrem comprehens upgrad automobilista turn new level new car track propos simrac bonanza crowdfund campaign new simul featur dynam track condit advanc transmiss tire model substanti upgrad physic graphic audio new game mode much featur make automobilista stand purebr race simul upscal physic input rate grant super accur high fidel physic forc feedback vehicl physic base model develop profession race team depth exclus data minut detail accur model race track bump distinct surfac properti engin sound sampl high qualiti record real car captur ever chang demand race car old style gearbox mechan demand proper gear engag use clutch synchron rev modern car demand handl advanc electron system high downforc car creat aerodynam wake follow cycl allow race dusk dawn night dynam track condit turn race line grippi rubberi trail build marbl offlin dynam tire damag dirt pickup add extra dimens drive experiencesumpt estim small tire revis version list',Sport
'first person shooter meet basebuild alpha decay teambas realtim strategi multiplay shooter goal destroy enemi base defend build combin resourcemanag basebuild mechan realtim strategi game action modern shooter result alpha decay team core need defend need team gather resourc build base differ type build allow differ strategi like forg power gun team attack oppon airstrik besid battl player also fight ongo radioact decay slowli devour core core reach certain level decay explod take entir base core featur onlin multiplay shooter play alon friend procedur generat level teambas gameplay teammat need build base cooper gather manag resourc fight decay well player thousand differ build weapon combin upgrad gun charact day night cycl dynam weather system get new weapon booster',Strategy
'mundan day littl adventur game develop unrealjam play high school student experi incred adventur way school',Action
'butler name micah sure one thing your also dead cant rememb anyth happen last hour meet two peopl insid mansion work woman name catherin help young man name tom tri find lost sister point click adventur game three must explor mansion solv mysteri hidden within explor come across varieti ghost problem problem need solv help solv problem delv deeper deeper mansion game length hour mous control main gameplay keyboard key mute unmut game key paus game paus menu save game control volum direct',Adventure
'adapt critic acclaim board gamebackground allianc shatter hasti diplomat treati made secreci confront superpow seem inevit outcom galact conflict remain seen faction emerg victori rule galaxi gameplay eclips place control vast interstellar civil compet success rival instead overcomplex set rule overal epic offer access choic eleg mechan much faster gameplay without reduc strateg depth game like everi euro style board game eclips civil lead peopl victori featur offici digit version eclips new dawn galaxi boardgam deep challeng explor expand exploit extermin gameplay speci differ strength weak customiz star system technolog tree ship design player human asynchron cross platform multiplay difficulti level game tutori manual',BoardGames
'buzz aldrin want rememb kick moon dust want legaci includ lay groundwork perman human settlement mar plan nasa prepar send first human mar time inc life collabor celebr astronaut histor icon creat one kind virtual realiti experi world first holograph legaci project creat viewer uniqu opportun meet astronaut hologram today futur generat abl experi aldrin legaci long mankind made journey mar aldrin american astronaut best known pilot lunar modul apollo mission one first men set foot moon histor achiev want legaci includ lay groundwork perman human settlement mar plan buzz aldrin cycl pathway mar journey aldrin land site moon mar show first hand plan inhabit red planet creat hologram aldrin record use volumetr captur proprietari technolog bring photorealist hologram human virtual augment mix realiti easi scalabl way environ creat collabor loot stun visual effect fusefx appropri age produc partnership soylent',Educational
